FID,XY,XY_ORG,LOCATIE_CODE,CREATED_BY,CREATED_DATE
locaties.1872,POINT (773558.06490154 5916946.34378379),POINT (26968600 59519300),EMDVWTR,HWS_DONAR_SGG,2021-03-05T18:43:42.902
locaties.1873,POINT (728919.741122516 5956714.88602443),POINT (6281243 53423438),ROTTMPT20,HWS_DONAR_SGG,2021-03-05T18:44:13.336
locaties.1874,POINT (540719.834073476 5699978.90073733),POINT (2980000 38604000),VLISSGKSBG,HWS_DONAR_SGG,2021-03-05T18:44:27.875
locaties.1875,POINT (692699.977569291 5818407.85702095),POINT (18561200 49943100),EEKT,HWS_DONAR_SGG,2021-03-05T18:44:49.94
locaties.1876,POINT (651254.326679301 5809602.48005833),POINT (14390000 49200000),DEBVKFLHGVT,HWS_DONAR_SGG,2021-03-05T18:44:52.718
locaties.1877,POINT (651500.880631345 5809710.67455445),POINT (14415000 49210000),DEBVKFLLGVT,HWS_DONAR_SGG,2021-03-05T18:44:53.91
locaties.1878,POINT (640200.804729777 5803484.7303941),POINT (13265000 48625000),PAMPWT,HWS_DONAR_SGG,2021-03-05T18:44:59.001
locaties.1879,POINT (605529.82986276 5727605.27067184),POINT (9550000 41154000),KLUNDT,HWS_DONAR_SGG,2021-03-05T18:45:02.519
locaties.1880,POINT (639236.811828127 5785384.50387138),POINT (13109000 46819000),LOENDVSPS,HWS_DONAR_SGG,2021-03-05T18:45:03.599
locaties.1881,POINT (654225.317525459 5816734.26871182),POINT (14710500 49903000),KUILVMKN,HWS_DONAR_SGG,2021-03-05T18:45:03.865
locaties.1882,POINT (669005.678084517 5793178.97861668),POINT (16110000 47500000),NIJKKSS,HWS_DONAR_SGG,2021-03-05T18:45:05.059
locaties.1883,POINT (673420.705653374 5796443.40781985),POINT (16562000 47811700),ERMLO,HWS_DONAR_SGG,2021-03-05T18:45:05.25
locaties.1884,POINT (596004.347177004 5780694.7743816),POINT (8772000 46492500),VALKBG,HWS_DONAR_SGG,2021-03-05T18:45:09.84
locaties.1885,POINT (645683.087105857 5738684.12157278),POINT (13600000 42130000),VEEN,HWS_DONAR_SGG,2021-03-05T18:45:09.948
locaties.1886,POINT (683767.274789664 5809776.02845036),POINT (17640000 49110000),RAL,HWS_DONAR_SGG,2021-03-05T18:45:12.589
locaties.1887,POINT (679468.845400488 5807404.61773152),POINT (17202600 48887200),FLEVSD,HWS_DONAR_SGG,2021-03-05T18:45:12.785
locaties.1888,POINT (714398.340258334 5715304.87344385),POINT (20391000 39569000),WELLDP,HWS_DONAR_SGG,2021-03-05T01:59:08.123
locaties.1889,POINT (706152.313356594 5725423.28832249),POINT (19600000 40607000),SAMBBNDN,HWS_DONAR_SGG,2021-03-05T01:59:14.222
locaties.1890,POINT (688785.342330799 5739045.0127418),POINT (17909000 42025000),GRAVBNDN,HWS_DONAR_SGG,2021-03-05T01:59:18.226
locaties.1891,POINT (676846.319006321 5744897.87841666),POINT (16735000 42649000),MEGDP,HWS_DONAR_SGG,2021-03-05T01:59:22.188
locaties.1892,POINT (698197.591117723 5826394.20878114),POINT (19137000 50723000),KAMPBVHVN,HWS_DONAR_SGG,2021-03-05T01:59:32.41
locaties.1893,POINT (596608.574582583 5726642.95146613),POINT (8655000 41087000),RAKZD,HWS_DONAR_SGG,2021-03-05T01:59:36.496
locaties.1894,POINT (698367.779745683 5737637.50802526),POINT (18862000 41853000),MOOK,HWS_DONAR_SGG,2021-03-05T02:01:20.85
locaties.1895,POINT (709615.525615182 5682996.28529638),POINT (19808000 36356000),NEER,HWS_DONAR_SGG,2021-03-05T02:01:25.348
locaties.1896,POINT (704491.407033157 5672533.17534332),POINT (19262000 35327000),LINNBNDN,HWS_DONAR_SGG,2021-03-05T02:01:33.407
locaties.1897,POINT (695945.096064582 5663920.98465436),POINT (18380000 34494000),MAASEK,HWS_DONAR_SGG,2021-03-05T02:01:39.098
locaties.1898,POINT (715231.210859544 5793662.44656954),POINT (20731000 47396000),DEVTR,HWS_DONAR_SGG,2021-03-05T02:01:43.441
