date,STN,temp_gem,temp_max,temp_min,vocht_gem,vocht_max,vocht_min,neerslag_som,neerslag_max,wind_gem,wind_max,wind_min,brand,sum_brand,Saturated Vapor Pressure (Es),Vapor Pressure (E),VPD,HDWI,HDWI_gust,temp_gem_som_3,temp_gem_som_7,vocht_gem_som_3,vocht_gem_som_7,neerslag_som_3,neerslag_som_7
2021-08-25 00:00:00+02:00,290,15.0,21.1,6.0,83.0,100.0,59.0,0.6,0.5,2.9,10.0,0.0,0,0,17.01672024059306,14.123877799692238,2.892842440900821,8.389243078612383,28.928424409008212,47.800000000000026,117.60000000000002,236.0,587.0,0.8250000000000071,14.049999999999956
2020-11-15 00:00:00+01:00,290,13.3,17.0,8.8,76.0,91.0,65.0,4.6,1.3,6.8,22.0,4.0,0,0,15.243736892280292,11.585240038133024,3.6584968541472698,24.877778608201435,80.48693079123993,35.700000000000024,70.30000000000001,253.0,631.0,5.100000000000007,8.249999999999957
2025-06-06 00:00:00+02:00,290,15.5,20.1,13.4,80.0,96.0,53.0,5.1,2.6,5.1,17.0,2.0,0,0,17.57156905477989,14.057255243823912,3.514313810955977,17.923000435875483,59.743334786251616,45.80000000000005,112.70000000000002,235.0,522.0,11.3,20.824999999999942
2022-08-20 00:00:00+02:00,290,19.6,25.3,12.4,71.0,98.0,38.0,0.025,0.025,2.0,11.0,0.0,0,0,22.754866199740583,16.155955001815812,6.598911197924771,13.197822395849542,72.58802317717249,59.70000000000003,152.60000000000002,226.0,482.0,1.9500000000000088,2.724999999999956
2024-10-28 00:00:00+01:00,290,11.8,14.4,5.5,90.0,99.0,79.0,2.0,1.2,4.1,11.0,1.0,0,0,13.81654508334226,12.434890575008035,1.3816545083342255,5.664783484170324,15.19819959167648,36.40000000000005,79.60000000000001,272.0,640.0,2.05,7.799999999999943
2023-06-04 00:00:00+02:00,290,16.0,23.5,7.1,56.0,84.0,29.0,0.025,0.025,3.6,11.0,2.0,1,1,18.142262699495173,10.159667111717296,7.982595587777876,28.737344116000354,87.80855146555663,45.30000000000004,98.9,166.0,444.0,0.075,0.175
2021-11-10 00:00:00+01:00,290,6.6,11.1,0.4,83.0,98.0,68.0,0.025,0.025,1.9,5.0,1.0,0,0,9.737102844573526,8.081795360996026,1.6553074835775003,3.1450842187972503,8.276537417887502,20.900000000000027,51.400000000000006,258.0,620.0,0.075,5.899999999999958
2020-04-09 00:00:00+02:00,290,12.8,20.4,5.4,63.0,96.0,38.0,0.025,0.025,3.0,9.0,1.0,1,1,14.754224527551631,9.295161452357528,5.459063075194104,16.377189225582313,49.13156767674693,42.00000000000003,83.4,187.0,418.0,0.075,0.175
2021-03-05 00:00:00+01:00,290,0.4,6.5,-5.1,72.0,95.0,42.0,0.025,0.025,2.2,9.0,0.0,0,0,6.291479346012542,4.52986512912903,1.7616142168835118,3.8755512771437264,15.854527951951606,9.700000000000022,28.700000000000006,244.0,583.0,0.075,0.175
2021-11-15 00:00:00+01:00,290,5.9,7.7,5.2,87.0,94.0,84.0,0.025,0.025,2.8,7.0,2.0,0,0,9.278709997930754,8.072477698199757,1.206232299730997,3.3774504392467923,8.443626098116981,23.800000000000026,52.0,273.0,612.0,3.250000000000007,3.349999999999957
2024-02-08 00:00:00+01:00,290,1.6,4.2,-1.7,93.0,98.0,79.0,11.5,2.2,2.4,10.0,0.0,0,0,6.858269140063706,6.378190300259247,0.4800788398044595,1.1521892155307027,4.800788398044595,14.700000000000044,51.2,264.0,610.0,30.200000000000003,37.69999999999996
2021-02-09 00:00:00+01:00,290,-7.2,-2.7,-14.2,86.0,98.0,72.0,0.1,0.1,2.0,10.0,0.0,0,0,3.5698102550735475,3.070036819363251,0.4997734357102965,0.9995468714205932,4.997734357102965,-18.99999999999998,0.1000000000000049,253.0,620.0,22.90000000000001,38.52499999999996
2023-01-11 00:00:00+01:00,290,9.3,10.9,7.7,85.0,96.0,72.0,6.8,2.8,6.5,14.0,4.0,0,0,11.698188374897644,9.943460118662998,1.7547282562346478,11.405733665525212,24.56619558728507,21.50000000000003,60.2,263.0,593.0,16.60000000000001,21.29999999999996
2019-12-24 00:00:00+01:00,290,7.5,9.1,5.7,92.0,97.0,86.0,7.3,1.9,4.7,11.0,3.0,0,0,10.355796040936276,9.527332357661374,0.8284636832749008,3.893779311392034,9.11310051602391,22.500000000000032,57.100000000000016,274.0,593.0,14.20000000000001,15.34999999999996
